#,Company,Symbol,Weight,Price,Chg,% Chg
122,Ecolab Inc.,ECL,0.186843,205.64,-1.47,(-0.71%)
123,Equinix Inc.,EQIX,0.185808,606.00,2.27,(0.38%)
124,American Electric Power Company Inc.,AEP,0.182302,101.02,-1.23,(-1.20%)
125,Intercontinental Exchange Inc.,ICE,0.181006,93.18,3.07,(3.41%)
126,L3Harris Technologies Inc,LHX,0.180176,229.86,3.88,(1.72%)
127,Kimberly-Clark Corporation,KMB,0.178868,144.82,0.29,(0.20%)
128,Edwards Lifesciences Corporation,EW,0.177048,233.80,-2.84,(-1.20%)
129,Progressive Corporation,PGR,0.175282,83.26,0.20,(0.24%)
130,Waste Management Inc.,WM,0.174064,124.15,0.41,(0.33%)
131,Capital One Financial Corporation,COF,0.173886,101.80,-1.72,(-1.66%)
132,Schlumberger NV,SLB,0.172447,34.43,-0.08,(-0.23%)
133,Sherwin-Williams Company,SHW,0.172096,572.55,-9.35,(-1.61%)
134,Humana Inc.,HUM,0.171699,354.00,-5.15,(-1.43%)
135,Baxter International Inc.,BAX,0.17164,91.25,-2.05,(-2.20%)
136,Estee Lauder Companies Inc. Class A,EL,0.169928,208.09,-3.44,(-1.63%)
137,Exelon Corporation,EXC,0.168744,48.24,-0.02,(-0.04%)
138,Lam Research Corporation,LRCX,0.168499,315.39,-8.13,(-2.51%)
139,American International Group Inc.,AIG,0.166913,53.46,0.05,(0.09%)
140,Activision Blizzard Inc.,ATVI,0.166236,61.50,1.24,(2.06%)
141,Emerson Electric Co.,EMR,0.166142,73.77,-1.48,(-1.97%)
142,Sempra Energy,SRE,0.163319,158.59,-1.91,(-1.19%)
143,Autodesk Inc.,ADSK,0.16293,206.00,0.00,(0.00%)
144,Illumina Inc.,ILMN,0.15981,296.80,-4.43,(-1.47%)
145,EOG Resources Inc.,EOG,0.159318,74.35,-1.52,(-2.00%)
146,Moody's Corporation,MCO,0.157105,267.50,-0.51,(-0.19%)
147,General Dynamics Corporation,GD,0.156937,187.28,1.15,(0.62%)
148,Simon Property Group Inc.,SPG,0.155874,141.83,0.97,(0.69%)
149,General Motors Company,GM,0.155432,33.62,-0.71,(-2.07%)
150,Ross Stores Inc.,ROST,0.154219,117.48,-0.71,(-0.60%)
151,Analog Devices Inc.,ADI,0.154163,112.28,-3.51,(-3.03%)
152,Eaton Corp. Plc,ETN,0.152924,101.96,-0.52,(-0.51%)
153,Kinder Morgan Inc Class P,KMI,0.148808,21.16,-0.17,(-0.80%)
154,MetLife Inc.,MET,0.14635,51.58,-0.29,(-0.56%)
155,Allstate Corporation,ALL,0.144871,124.43,0.54,(0.44%)
156,Walgreens Boots Alliance Inc,WBA,0.144753,53.21,-0.28,(-0.52%)
157,Phillips 66,PSX,0.144594,90.41,0.19,(0.21%)
158,DuPont de Nemours Inc.,DD,0.14425,52.55,-1.26,(-2.34%)
159,Bank of New York Mellon Corporation,BK,0.144006,47.25,-0.29,(-0.61%)
160,Roper Technologies Inc.,ROP,0.143991,385.44,0.40,(0.10%)
161,Marriott International Inc. Class A,MAR,0.143956,144.07,-2.15,(-1.47%)
162,Dollar General Corporation,DG,0.142764,154.97,-0.50,(-0.32%)
163,HCA Healthcare Inc,HCA,0.142681,145.93,-3.33,(-2.23%)
164,Cognizant Technology Solutions Corporation Class A,CTSH,0.142082,69.34,-2.08,(-2.91%)
165,Sysco Corporation,SYY,0.14165,77.36,0.74,(0.97%)
166,Aflac Incorporated,AFL,0.139647,52.93,0.19,(0.36%)
167,Prudential Financial Inc.,PRU,0.138061,94.67,-0.66,(-0.69%)
168,Occidental Petroleum Corporation,OXY,0.135386,41.90,-0.22,(-0.52%)
169,Centene Corporation,CNC,0.134745,63.16,-1.19,(-1.85%)
170,Dow Inc.,DOW,0.131722,47.80,-1.40,(-2.85%)
